mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,power_to_weight
28.4,4,151.0,90.0,2670.0,16.0,79,USA,buick skylark limited,0.033707865168539325
28.8,6,173.0,115.0,2595.0,11.3,79,USA,chevrolet citation,0.04431599229287091
26.8,6,173.0,115.0,2700.0,12.9,79,USA,oldsmobile omega brougham,0.04259259259259259
33.5,4,151.0,90.0,2556.0,13.2,79,USA,pontiac phoenix,0.035211267605633804
41.5,4,98.0,76.0,2144.0,14.7,80,Europe,vw rabbit,0.03544776119402985
38.1,4,89.0,60.0,1968.0,18.8,80,Japan,toyota corolla tercel,0.03048780487804878
32.1,4,98.0,70.0,2120.0,15.5,80,USA,chevrolet chevette,0.0330188679245283
37.2,4,86.0,65.0,2019.0,16.4,80,Japan,datsun 310,0.032194155522535906
28.0,4,151.0,90.0,2678.0,16.5,80,USA,chevrolet citation,0.033607169529499624
26.4,4,140.0,88.0,2870.0,18.1,80,USA,ford fairmont,0.030662020905923345
24.3,4,151.0,90.0,3003.0,20.1,80,USA,amc concord,0.029970029970029972
19.1,6,225.0,90.0,3381.0,18.7,80,USA,dodge aspen,0.026619343389529725
34.3,4,97.0,78.0,2188.0,15.8,80,Europe,audi 4000,0.0356489945155393
29.8,4,134.0,90.0,2711.0,15.5,80,Japan,toyota corona liftback,0.033198081888601995
31.3,4,120.0,75.0,2542.0,17.5,80,Japan,mazda 626,0.029504327301337528
37.0,4,119.0,92.0,2434.0,15.0,80,Japan,datsun 510 hatchback,0.03779786359901397
32.2,4,108.0,75.0,2265.0,15.2,80,Japan,toyota corolla,0.033112582781456956
46.6,4,86.0,65.0,2110.0,17.9,80,Japan,mazda glc,0.030805687203791468
27.9,4,156.0,105.0,2800.0,14.4,80,USA,dodge colt,0.0375
40.8,4,85.0,65.0,2110.0,19.2,80,Japan,datsun 210,0.030805687203791468
44.3,4,90.0,48.0,2085.0,21.7,80,Europe,vw rabbit c (diesel),0.02302158273381295
43.4,4,90.0,48.0,2335.0,23.7,80,Europe,vw dasher (diesel),0.020556745182012847
36.4,5,121.0,67.0,2950.0,19.9,80,Europe,audi 5000s (diesel),0.02271186440677966
30.0,4,146.0,67.0,3250.0,21.8,80,Europe,mercedes-benz 240d,0.020615384615384615
44.6,4,91.0,67.0,1850.0,13.8,80,Japan,honda civic 1500 gl,0.036216216216216214
33.8,4,97.0,67.0,2145.0,18.0,80,Japan,subaru dl,0.031235431235431235
29.8,4,89.0,62.0,1845.0,15.3,80,Europe,vokswagen rabbit,0.03360433604336043
32.7,6,168.0,132.0,2910.0,11.4,80,Japan,datsun 280-zx,0.04536082474226804
23.7,3,70.0,100.0,2420.0,12.5,80,Japan,mazda rx-7 gs,0.04132231404958678
35.0,4,122.0,88.0,2500.0,15.1,80,Europe,triumph tr7 coupe,0.0352
32.4,4,107.0,72.0,2290.0,17.0,80,Japan,honda accord,0.0314410480349345
27.2,4,135.0,84.0,2490.0,15.7,81,USA,plymouth reliant,0.033734939759036145
26.6,4,151.0,84.0,2635.0,16.4,81,USA,buick skylark,0.031878557874762806
25.8,4,156.0,92.0,2620.0,14.4,81,USA,dodge aries wagon (sw),0.035114503816793895
23.5,6,173.0,110.0,2725.0,12.6,81,USA,chevrolet citation,0.04036697247706422
30.0,4,135.0,84.0,2385.0,12.9,81,USA,plymouth reliant,0.03522012578616352
39.1,4,79.0,58.0,1755.0,16.9,81,Japan,toyota starlet,0.03304843304843305
39.0,4,86.0,64.0,1875.0,16.4,81,USA,plymouth champ,0.034133333333333335
35.1,4,81.0,60.0,1760.0,16.1,81,Japan,honda civic 1300,0.03409090909090909
32.3,4,97.0,67.0,2065.0,17.8,81,Japan,subaru,0.0324455205811138
37.0,4,85.0,65.0,1975.0,19.4,81,Japan,datsun 210 mpg,0.03291139240506329
37.7,4,89.0,62.0,2050.0,17.3,81,Japan,toyota tercel,0.03024390243902439
34.1,4,91.0,68.0,1985.0,16.0,81,Japan,mazda glc 4,0.03425692695214106
34.7,4,105.0,63.0,2215.0,14.9,81,USA,plymouth horizon 4,0.028442437923250564
34.4,4,98.0,65.0,2045.0,16.2,81,USA,ford escort 4w,0.03178484107579462
29.9,4,98.0,65.0,2380.0,20.7,81,USA,ford escort 2h,0.0273109243697479
33.0,4,105.0,74.0,2190.0,14.2,81,Europe,volkswagen jetta,0.033789954337899546
33.7,4,107.0,75.0,2210.0,14.4,81,Japan,honda prelude,0.033936651583710405
32.4,4,108.0,75.0,2350.0,16.8,81,Japan,toyota corolla,0.031914893617021274
32.9,4,119.0,100.0,2615.0,14.8,81,Japan,datsun 200sx,0.03824091778202677
31.6,4,120.0,74.0,2635.0,18.3,81,Japan,mazda 626,0.02808349146110057
28.1,4,141.0,80.0,3230.0,20.4,81,Europe,peugeot 505s turbo diesel,0.02476780185758514
30.7,6,145.0,76.0,3160.0,19.6,81,Europe,volvo diesel,0.024050632911392405
25.4,6,168.0,116.0,2900.0,12.6,81,Japan,toyota cressida,0.04
24.2,6,146.0,120.0,2930.0,13.8,81,Japan,datsun 810 maxima,0.040955631399317405
22.4,6,231.0,110.0,3415.0,15.8,81,USA,buick century,0.032210834553440704
26.6,8,350.0,105.0,3725.0,19.0,81,USA,oldsmobile cutlass ls,0.028187919463087248
20.2,6,200.0,88.0,3060.0,17.1,81,USA,ford granada gl,0.02875816993464052
17.6,6,225.0,85.0,3465.0,16.6,81,USA,chrysler lebaron salon,0.024531024531024532
28.0,4,112.0,88.0,2605.0,19.6,82,USA,chevrolet cavalier,0.03378119001919386
27.0,4,112.0,88.0,2640.0,18.6,82,USA,chevrolet cavalier wagon,0.03333333333333333
34.0,4,112.0,88.0,2395.0,18.0,82,USA,chevrolet cavalier 2-door,0.03674321503131524
31.0,4,112.0,85.0,2575.0,16.2,82,USA,pontiac j2000 se hatchback,0.03300970873786408
29.0,4,135.0,84.0,2525.0,16.0,82,USA,dodge aries se,0.03326732673267327
27.0,4,151.0,90.0,2735.0,18.0,82,USA,pontiac phoenix,0.03290676416819013
24.0,4,140.0,92.0,2865.0,16.4,82,USA,ford fairmont futura,0.03211169284467714
36.0,4,105.0,74.0,1980.0,15.3,82,Europe,volkswagen rabbit l,0.03737373737373737
37.0,4,91.0,68.0,2025.0,18.2,82,Japan,mazda glc custom l,0.03358024691358025
31.0,4,91.0,68.0,1970.0,17.6,82,Japan,mazda glc custom,0.03451776649746193
38.0,4,105.0,63.0,2125.0,14.7,82,USA,plymouth horizon miser,0.029647058823529412
36.0,4,98.0,70.0,2125.0,17.3,82,USA,mercury lynx l,0.03294117647058824
36.0,4,120.0,88.0,2160.0,14.5,82,Japan,nissan stanza xe,0.040740740740740744
36.0,4,107.0,75.0,2205.0,14.5,82,Japan,honda accord,0.034013605442176874
34.0,4,108.0,70.0,2245.0,16.9,82,Japan,toyota corolla,0.031180400890868598
38.0,4,91.0,67.0,1965.0,15.0,82,Japan,honda civic,0.03409669211195929
32.0,4,91.0,67.0,1965.0,15.7,82,Japan,honda civic (auto),0.03409669211195929
38.0,4,91.0,67.0,1995.0,16.2,82,Japan,datsun 310 gx,0.033583959899749376
25.0,6,181.0,110.0,2945.0,16.4,82,USA,buick century limited,0.03735144312393888
38.0,6,262.0,85.0,3015.0,17.0,82,USA,oldsmobile cutlass ciera (diesel),0.028192371475953566
26.0,4,156.0,92.0,2585.0,14.5,82,USA,chrysler lebaron medallion,0.035589941972920695
22.0,6,232.0,112.0,2835.0,14.7,82,USA,ford granada l,0.03950617283950617
32.0,4,144.0,96.0,2665.0,13.9,82,Japan,toyota celica gt,0.03602251407129456
36.0,4,135.0,84.0,2370.0,13.0,82,USA,dodge charger 2.2,0.035443037974683546
27.0,4,151.0,90.0,2950.0,17.3,82,USA,chevrolet camaro,0.030508474576271188
27.0,4,140.0,86.0,2790.0,15.6,82,USA,ford mustang gl,0.03082437275985663
44.0,4,97.0,52.0,2130.0,24.6,82,Europe,vw pickup,0.024413145539906103
32.0,4,135.0,84.0,2295.0,11.6,82,USA,dodge rampage,0.036601307189542485
28.0,4,120.0,79.0,2625.0,18.6,82,USA,ford ranger,0.030095238095238095
31.0,4,119.0,82.0,2720.0,19.4,82,USA,chevy s-10,0.030147058823529412
